"","DP","DPNOM","DPMP","MPIO","pop10","hommun10","hrate10","sur10","pop11","hommun11","hrate11","sur11","pop12","hommun12","hrate12","sur12","pop13","hommun13","hrate13","sur13","pop14","hommun14","hrate14","sur14","pop15","hommun15","hrate15","sur15","pop16","hommun16","hrate16","sur16","pop17","hommun17","hrate17","sur17","pop18","hommun18","hrate18","sur18"
"11",5,"Antioquia",5042000,"Santafé de Antioquia",23688,2,0.844309354947653,9999.15569064505,23858,7,2.93402632240758,9997.06597367759,24025,19,7.90842872008325,9992.09157127992,24202,13,5.37145690438807,9994.62854309561,24369,12,4.92428905576757,9995.07571094423,24549,16,6.51757709071653,9993.48242290928,24724,24,9.70716712506067,9990.29283287494,24905,17,6.8259385665529,9993.17406143345,25067,10,3.98930865281047,9996.01069134719
"12",5,"Antioquia",5044000,"Anza",7500,1,1.33333333333333,9998.66666666667,7515,2,2.66134397870925,9997.33865602129,7529,0,0,10000,7543,4,5.30292986875249,9994.69707013125,7556,0,0,10000,7568,1,1.32135306553911,9998.67864693446,7580,7,9.23482849604222,9990.76517150396,7591,3,3.95204847846134,9996.04795152154,7601,3,3.94684909880279,9996.0531509012
"13",5,"Antioquia",5045000,"Apartadó",153319,44,2.86983348443441,9997.13016651557,158059,78,4.93486609430656,9995.06513390569,162914,43,2.63942939219465,9997.36057060781,167895,34,2.0250751958069,9997.97492480419,173008,38,2.19643022287987,9997.80356977712,178257,27,1.51466702569885,9998.4853329743,183716,35,1.90511441572862,9998.09488558427,189325,54,2.85223821471015,9997.14776178529,195068,54,2.76826542539012,9997.23173457461
"14",5,"Antioquia",5051000,"Arboletes",35212,4,1.13597637169147,9998.86402362831,36149,6,1.65979695150627,9998.34020304849,37124,7,1.88557267535826,9998.11442732464,38100,6,1.5748031496063,9998.42519685039,39113,8,2.04535576406821,9997.95464423593,40147,5,1.24542307021695,9998.75457692978,41209,8,1.94132349729428,9998.05867650271,42301,11,2.60041133779343,9997.39958866221,43416,2,0.460659664639764,9999.53934033536
"15",5,"Antioquia",5055000,"Argelia",9382,1,1.06587081645705,9998.93412918354,9240,1,1.08225108225108,9998.91774891775,9108,1,1.09793588054458,9998.90206411945,8968,2,2.23015165031222,9997.76984834969,8837,0,0,10000,8699,2,2.2991148407863,9997.70088515921,8578,1,1.16577290743763,9998.83422709256,8426,0,0,10000,8306,2,2.40789790512882,9997.59210209487
"16",5,"Antioquia",5059000,"Armenia",4673,0,0,10000,4578,1,2.18435998252512,9997.81564001748,4484,5,11.1507582515611,9988.84924174844,4383,4,9.12616929044034,9990.87383070956,4297,1,2.32720502676286,9997.67279497324,4210,3,7.12589073634204,9992.87410926366,4110,6,14.5985401459854,9985.40145985401,4029,3,7.44601638123604,9992.55398361876,3945,4,10.1394169835234,9989.86058301648
"17",5,"Antioquia",5079000,"Barbosa",46177,23,4.98083461463499,9995.01916538537,46954,34,7.24112961622013,9992.75887038378,47722,45,9.42961317631281,9990.57038682369,48503,52,10.7209863307424,9989.27901366926,49274,49,9.94439258026545,9990.05560741973,50052,37,7.39231199552465,9992.60768800447,50836,12,2.36053190652294,9997.63946809348,51617,18,3.48722320165837,9996.51277679834,52395,21,4.00801603206413,9995.99198396794
"18",5,"Antioquia",5086000,"Belmira",6479,1,1.54344806297268,9998.45655193703,6534,0,0,10000,6590,6,9.10470409711684,9990.89529590288,6645,7,10.5342362678706,9989.46576373213,6709,6,8.94321061260993,9991.05678938739,6760,0,0,10000,6823,4,5.862523816503,9994.1374761835,6875,4,5.81818181818182,9994.18181818182,6930,0,0,10000
"19",5,"Antioquia",5088000,"Bello",413186,87,2.10558925036182,9997.89441074964,421576,86,2.03996432434484,9997.96003567565,430034,117,2.72071510624741,9997.27928489375,438577,92,2.09769322148676,9997.90230677851,447185,97,2.16912463521809,9997.83087536478,455865,100,2.1936318866331,9997.80636811337,464614,100,2.15232429500618,9997.84767570499,473423,80,1.68982073114318,9998.31017926886,482287,79,1.63802880857249,9998.36197119143
"20",5,"Antioquia",5091000,"Betania",9778,6,6.13622417672326,9993.86377582328,9688,1,1.03220478943022,9998.96779521057,9586,3,3.12956394742333,9996.87043605258,9487,1,1.05407399599452,9998.94592600401,9388,13,13.8474648487431,9986.15253515126,9286,17,18.307129011415,9981.69287098859,9188,15,16.3256421419242,9983.67435785808,9079,16,17.6230862429783,9982.37691375702,8976,14,15.5971479500891,9984.40285204991
